 gid |   full_id    |      name       |         name_en          |    name_th     | ele |          st_astext           
  83 | n3273431869  | บ้านปางตอง       | Ban Pang Tong            | บ้านปางตอง      |     | POINT(98.6039093 19.0546343)
  30 | n2130202389  | บ้านป่าแป๋         | Ban Pa Pae               |                |     | POINT(98.0557893 18.2843554)
  44 | n2311815059  | บ้านป่าภู          | Ban Pa Pu                | บ้านป่าปุ๊         |     | POINT(97.9684815 19.2200235)
  49 | n2312431229  | บ้านผาบ่อง        | Ban Pha Bong             |                |     | POINT(97.9810779 19.2078261)
   7 | n801672777   | บ้านแพะ          | Ban Phae                 |                |     | POINT(97.912194 18.2127897)
 175 | n10285755713 | บ้านพะโข่โหล่      | Ban Pha Kho Lo           |                |     | POINT(98.0052391 19.2857141)
  39 | n2240086208  | บ้านพระบาทห้วยผึ้ง  | Ban Phrabat Huai Phueng  |                |     | POINT(98.0341065 18.4678353)
 141 | n5144314329  | บ้านปู่แก้ว         | Ban Phu Kaeo             | บ้านปู่แก้ว        |     | POINT(97.8878793 17.8729157)
  82 | n3273417562  | บ้านโป่งสา        | Ban Pong Sa              | บ้านโป่งสา       |     | POINT(98.5683754 19.09422)
  64 | n2781480258  | บ้านโป่งสันเหนือ    | Ban Pong Saar Nua        | บ้านโป่งสันเหนือ   |     | POINT(98.5584706 19.1717806)
   4 | n801549041   | บ้านไร่           | Ban Rai                  |                |     | POINT(97.9386744 18.125729)
   1 | n301512097   | บ้านรักไทย        | Ban Rak Thai             | บ้านรักไทย       |     | POINT(97.9457558 19.5861353)
  55 | n2530553765  | บ้านรุ่งอรุณ        | Ban Rung Arun            | บ้านรุ่งอรุณ       |     | POINT(98.0953728 19.520417)
  87 | n3815245859  | บ้านสล่าเชียงตองใต้ | Ban Sala Chiang Tong Tai |                |     | POINT(97.6756018 18.5230951)
 100 | n4700352127  |                 | Ban Santi Phatthana      |                |     | POINT(97.931929 18.5263356)
 148 | n5144892019  | บ้านสบเมย        | Ban Sop Moei             | บ้านสบเมย       |     | POINT(97.6961834 17.8287001)
  91 | n4559384984  | บ้านสบแพม        | Ban Sop Phaem            |                |     | POINT(98.4430942 19.2964293)
 125 | n5116812129  | บ้านสบป่อง        | Ban Sop Pong             |                |     | POINT(97.9372305 19.2898648)
  22 | n822444586   | บ้านสบสา         | Ban Sop Sa               | บ้านสบสา        |     | POINT(98.4217622 19.2248431)
 120 | n5116668630  | บ้านสบสอย        | Ban Sop Soi              | บ้านสบสอย       |     | POINT(97.9410555 19.3318585)
  74 | n2857527128  | บ้านท่าหินส้ม       | Ban Tha Hin Som          |                |     | POINT(97.926151 18.6644219)
 138 | n5134360458  | บ้านท่าข้าม        | Ban Tha Kam              |                |     | POINT(97.9344981 18.1895384)
  20 | n819947672   | บ้านถ้ำลอด        | Ban Tham Lot             | บ้านถ้ำลอด       |     | POINT(98.2805847 19.5773006)
 126 | n5118653342  | บ้านท่าโป่งแดง     | Ban Tha Pong Daeng       |                |     | POINT(97.9556924 19.2788293)
  72 | n2855119675  | บ้านท่าตาฝาง      | Ban Tha Ta Fang          | บ้านท่าตาฝั่ง      |     | POINT(97.6914551 18.075169)
 143 | n5144346995  | บ้านทีฮือลือ        | Ban Thi Hue Lue          | บ้านทีฮือลือ       |     | POINT(97.8198266 17.8434255)
 144 | n5144346999  | บ้านทิยาเพอ       | Ban Thi Ya Poe           | บ้านทิยาเพอ      |     | POINT(97.8814447 17.8322808)
  13 | n807466170   | บ้านทบศอก        | Ban Thop Sok             | บ้านทบศอก       |     | POINT(97.96331 19.4839)
  16 | n819932841   | บ้านคาหาร        | Ban Thung Kha Han        | บ้านทุ่งคาฮัน      |     | POINT(98.0167 19.55)
   8 | n806262861   | บ้านทุ่งกองมู       | Ban Thung Kong Mu        | บ้านทุ่งกองมู      |     | POINT(97.9561 19.3305)
  43 | n2310956977  | บ้านตีนธาตุ        | Ban Tin That             |                |     | POINT(98.4427179 19.313998)
 111 | n5110510755  | บ้านทุ่งยาว        | Ban Tung Yao             | บ้านทุ่งยาว       |     | POINT(98.4469751 19.322806)
 139 | n5144239237  | บ้านอุมโละเหนือ    | Ban Um Lo Nuea           |                |     | POINT(98.0703828 17.6931884)
 155 | n5148671488  | บ้านวนาหลวง      | Ban Wana Luang           | บ้านวนาหลวง     |     | POINT(98.2704628 19.5274579)
 107 | n5108911809  | บ้านหว่าโน        | Ban Wa No                | บ้านหว่าโน       |     | POINT(98.0083601 18.7655982)
  21 | n820323558   | บ้านเวียงเหนือ     | Ban Wiang Nua            | บ้านเวียงเหนือ    |     | POINT(98.4446442 19.3784035)
  68 | n2854493733  | บ้านยางอ้อมไผ่     | Ban Yang Om Phai         |                |     | POINT(98.1350761 18.4100986)
  67 | n2854493652  | บ้านยางรู         | Ban Yang Ru              |                |     | POINT(98.1385458 18.428383)
  18 | n819943040   | บ้านยาป่าแหน      | Ban Ya Pa Nae            | บ้านยาป่าแหน     |     | POINT(98.23938 19.60067)
  11 | n807465298   | บ้านยอด          | Ban Yot                  | บ้านยอด         |     | POINT(97.9639 19.4419)
 101 | n4987789661  | บ้านห้วยเสือเฒ่า    | Huai Suea Tao            |                |     | POINT(97.905085 19.2597895)
